Index	Note	Freq
0	C	16.351597831287375
1	C#	17.323914436054462
2	D	18.35404799483793
3	D#	19.44543648263001
4	E	20.601722307054324
5	F	21.826764464562697
6	F#	23.1246514194771
7	G	24.49971474885928
8	G#	25.956543598746517
9	A	27.499999999999947
10	A#	29.13523509488056
11	B	30.867706328507698
12	C	32.703195662574764
13	C#	34.647828872108946
14	D	36.708095989675876
15	D#	38.890872965260044
16	E	41.20344461410867
17	F	43.65352892912541
18	F#	46.24930283895422
19	G	48.99942949771858
20	G#	51.913087197493056
21	A	54.999999999999915
22	A#	58.270470189761156
23	B	61.73541265701542
24	C	65.40639132514957
25	C#	69.29565774421793
26	D	73.4161919793518
27	D#	77.78174593052012
28	E	82.40688922821738
29	F	87.30705785825087
30	F#	92.4986056779085
31	G	97.99885899543722
32	G#	103.82617439498618
33	A	109.99999999999989
34	A#	116.54094037952237
35	B	123.4708253140309
36	C	130.8127826502992
37	C#	138.59131548843592
38	D	146.83238395870364
39	D#	155.56349186104035
40	E	164.81377845643485
41	F	174.61411571650183
42	F#	184.9972113558171
43	G	195.99771799087452
44	G#	207.65234878997245
45	A	219.9999999999999
46	A#	233.08188075904488
47	B	246.94165062806198
48	C	261.6255653005985
49	C#	277.182630976872
50	D	293.66476791740746
51	D#	311.1269837220808
52	E	329.62755691286986
53	F	349.2282314330038
54	F#	369.99442271163434
55	G	391.99543598174927
56	G#	415.3046975799451
57	A	440.0
58	A#	466.1637615180899
59	B	493.8833012561241
60	C	523.2511306011974
61	C#	554.3652619537443
62	D	587.3295358348153
63	D#	622.253967444162
64	E	659.2551138257401
65	F	698.456462866008
66	F#	739.988845423269
67	G	783.990871963499
68	G#	830.6093951598907
69	A	880.0000000000003
70	A#	932.3275230361803
71	B	987.7666025122488
72	C	1046.5022612023952
73	C#	1108.7305239074892
74	D	1174.659071669631
75	D#	1244.5079348883246
76	E	1318.5102276514808
77	F	1396.912925732017
78	F#	1479.977690846539
79	G	1567.9817439269987
80	G#	1661.218790319782
81	A	1760.000000000002
82	A#	1864.6550460723618
83	B	1975.5332050244986
84	C	2093.0045224047913
85	C#	2217.4610478149793
86	D	2349.3181433392633
87	D#	2489.0158697766506
88	E	2637.020455302963
89	F	2793.8258514640347
90	F#	2959.9553816930793
91	G	3135.963487853999
92	G#	3322.437580639566
93	A	3520.0000000000055
94	A#	3729.310092144725
95	B	3951.0664100489994
